question,answer
"What is the current status of Asian Highway 1 (AH1)?","The highway officially reopened on April 2, 2026. While traffic has resumed, it is currently limited to private cars, motorcycles, and small passenger vans. On the first day of reopening, approximately 555 vehicles were recorded traversing the route."
"Are cargo trucks allowed to use the highway yet?","No. Large freight trucks, 12-wheelers, and trailers remain restricted from using the AH1 stretch between Hpa-an and Myawaddy as of early April. Logistics business owners report that dozens of truckloads of goods remain stuck in warehouses waiting for further clearance."
"What is the situation with the Thai-Myanmar Friendship Bridges?","Friendship Bridge No. 1: This bridge, which links the downtown areas of Myawaddy and Mae Sot, has been open for small vehicles and vaccinated travelers since early 2023. Friendship Bridge No. 2: This bridge is specifically designed for heavy cargo and border trade. Despite the highway reopening, Bridge No. 2 remains closed as of April 2026 because the nearby Myawaddy Trade Zone infrastructure was severely damaged and looted during previous fighting."
"Is the route safe for travel?","Security remains a major concern. While the junta has established joint checkpoints with the Border Guard Force (BGF) and conducted religious blessing ceremonies to reassure the public, residents report that fighting continues in nearby areas like Kawkareik and Kyondoe. Resistance groups claim the junta does not have ""full control"" of the entire corridor, and many locals are waiting to see if the safety of the route can be sustained before traveling."
"Why did the junta reopen the road now?","The move is largely seen as an effort to revive border trade, which was worth over $1 billion annually before the conflict. There is also political pressure to show stability as a new administration is expected to take office in Naypyidaw. Additionally, Thailand has been actively engaging with both the junta and ethnic groups to restore trade flows and curb scam-center networks along the border."
"Is it true that the Asian Highway (Myawaddy-Kawkareik) has reopened?","While sections have technically reopened, access is currently limited to private vehicles, with commercial trade still restricted."
"Is fighting still occurring in the vicinity of Kawkareik and Kyondoe?","Yes, intermittent armed clashes continue to break out sporadically throughout those specific areas."
"What is the current status of the Second Friendship Bridge?","Bridge 2 remains closed indefinitely, with no confirmed official date for its reopening at this time."
"Will foreigners be allowed across as soon as the bridge reopens?","Even upon reopening, trade will be the priority; there is little immediate hope for foreign tourists being granted crossing privileges."
"Is it possible to visit Myawaddy on a one-day border pass?","A reopening for foreign tourists, even for short-day visits, is not expected in the foreseeable future."
"How long has the Asian Highway been affected by closures?","This strategic route has faced significant disruptions and closures for nearly two years since late 2023 due to heavy fighting."
"Can commuters use the old mountain detour roads instead?","Authorities have blocked these detours, and since they are controlled by armed groups, they are not viable for safe travel."
"What is the current state of cross-border trade?","Trade is largely paralyzed due to the road blocks, leaving many businesses and traders in a difficult position."
"Are there new regulations for Myanmar vehicles entering the Thai side?","Thai officials have tightened restrictions, turning back Myanmar vehicles that lack clear and matching ownership documentation."
