question,answer
"မြန်မာနိုင်ငံမှာ တိုင်းရင်းသားလူမျိုးစု ပေါင်းမည်မျှရှိသလဲ?","တိုင်းရင်းသားလူမျိုးစု (၁၃၅) စု ရှိပါတယ်။"
"ယူနက်စကို (UNESCO) ကမ္ဘာ့အမွေအနှစ်စာရင်းဝင် ပုဂံဒေသမှာ ရှေးဟောင်းဘုရားကျောင်းကန်ပေါင်း မည်မျှရှိသလဲ?","ဘုရားကျောင်းကန်ပေါင်း (၂,၀၀၀) ကျော် ရှိပါတယ်။"
"အင်းလေးကန်ရဲ့ ထူးခြားတဲ့ ယဉ်ကျေးမှုက ဘာလဲ?","အင်းသားတံငါသည်တွေရဲ့ ထူးခြားတဲ့ ခြေထောက်တစ်ဖက်တည်းနဲ့ လှေလှော်ခတ်တဲ့ ယဉ်ကျေးမှုနဲ့ ရေပေါ်ကျေးရွာများပဲ ဖြစ်ပါတယ်။"
"မြန်မာနိုင်ငံကို လည်ပတ်ဖို့ အကောင်းဆုံးအချိန်က ဘယ်အချိန်လဲ?","အေးမြပြီး ခြောက်သွေ့တဲ့ နိုဝင်ဘာလကနေ ဖေဖော်ဝါရီလအထိဟာ အကောင်းဆုံးအချိန် ဖြစ်ပါတယ်။"
"ခရီးသွားဗီဇာ (Tourist Visa) နဲ့ မြန်မာနိုင်ငံမှာ ရက်ပေါင်းမည်မျှ နေထိုင်ခွင့်ရှိသလဲ?","၂၈ ရက်အထိ နေထိုင်ခွင့်ရှိပါတယ်။"
"၂၀၁၁ ခုနှစ်ကစပြီး ဟိုတယ်အခန်းအရေအတွက် ဘယ်လောက်အထိ တိုးတက်လာသလဲ?","ဟိုတယ်အခန်းပေါင်း ၅၀ ရာခိုင်နှုန်း (50%) အထိ တိုးတက်လာခဲ့ပါတယ်။"
"မြန်မာနိုင်ငံရဲ့ ကမ်းရိုးတန်းအရှည်က မိုင်ပေါင်းမည်မျှရှိသလဲ?","မိုင်ပေါင်း ၁,၀၀၀ ကျော် ရှည်လျားပါတယ်။"
"ဘုရားကျောင်းကန်တွေကို သွားရောက်တဲ့အခါ လိုက်နာရမယ့် ယဉ်ကျေးမှုစည်းကမ်းတွေက ဘာတွေလဲ?","ပခုံးနဲ့ ဒူးဖုံးတဲ့အထိ ယဉ်ကျေးစွာဝတ်ဆင်ရပါမယ်၊ ဖိနပ်နဲ့ ခြေအိတ်တွေကို ချွတ်ရပါမယ်၊ ဗုဒ္ဓရုပ်ပွားတော်တွေကို ကိုင်တွယ်ခြင်း မပြုရပါဘူး။"
"ခရီးသွားလုပ်ငန်းဆိုင်ရာ ငွေပေးချေမှုတွေကို အွန်လိုင်းကနေ လုံခြုံစွာလုပ်ဆောင်နိုင်ဖို့ ဘယ်စနစ်ကို သုံးနိုင်သလဲ?","Tourism Payment System ကို အသုံးပြုနိုင်ပါတယ်။"
"ကမ္ဘာ့အမွေအနှစ် (UNESCO) ယာယီစာရင်း (Tentative List) ထဲမှာ မြန်မာနိုင်ငံက နေရာပေါင်းမည်မျှ ပါဝင်နေသလဲ?","နေရာပေါင်း (၁၅) ခု ပါဝင်နေပါတယ်။"
"မြန်မာနိုင်ငံ ဟိုတယ်နှင့် ခရီးသွားလာရေး ဝန်ကြီးဌာနရဲ့ မျှော်မှန်းချက် (Vision) က ဘာလဲ?","တာဝန်သိခရီးသွားများအတွက် စစ်မှန်သောအတွေ့အကြုံများကို ပေးစွမ်းနိုင်သော၊ မဖြစ်မနေ လည်ပတ်သင့်သည့် ခရီးစဉ်ဒေသတစ်ခုအဖြစ် မြန်မာနိုင်ငံကို ရပ်တည်နိုင်စေရန်ဖြစ်သည်။"
"မြန်မာနိုင်ငံရဲ့ ရှည်လျားလှတဲ့ ကမ်းရိုးတန်းတလျှောက်မှာ ဘယ်လိုအလှအပတွေ ရှိသလဲ?","မိုင်ပေါင်း ၁,၀၀၀ ကျော် ရှည်လျားတဲ့ ကမ်းရိုးတန်းတလျှောက်မှာ စူးစမ်းလေ့လာခြင်း မပြုရသေးတဲ့ သဘာဝအလှတရားတွေနဲ့ အဖြူရောင်သဲသောင်ပြင်တွေ ရှိပါတယ်။"
"Ministry Digital Services အောက်မှာ ခရီးသွားလုပ်ငန်းရှင်တွေနဲ့ ခရီးသွားတွေအတွက် ဘယ်လို ဝန်ဆောင်မှုတွေ ပေးထားသလဲ?","Tourism Payment System နဲ့ Guest List Information System (GLIS) ကဲ့သို့သော အွန်လိုင်းပလတ်ဖောင်းတွေကို ပေးထားပါတယ်။"
"Guest List Information System (GLIS) ရဲ့ အဓိက အသုံးဝင်ပုံက ဘာလဲ?","ပွဲတက်ရောက်သူ ဧည့်သည်စာရင်း အချက်အလက်များကို စနစ်တကျ စီမံခန့်ခွဲနိုင်ပြီး အလွယ်တကူ ပြန်လည်ကြည့်ရှုနိုင်စေတဲ့ ဒစ်ဂျစ်တယ်ဝန်ဆောင်မှု ဖြစ်ပါတယ်။"
"မြန်မာနိုင်ငံရဲ့ ယဉ်ကျေးမှု အသည်းနှလုံး (Cultural Heartland) လို့ ဘယ်ဒေသကို တင်စားသလဲ?","ရှေးဟောင်းမြို့တော်ဟောင်းတွေနဲ့ ရိုးရာလက်မှုပညာရပ်တွေ ရှိရာ မန္တလေးတိုင်းဒေသကြီးကို တင်စားပါတယ်။"
"ရန်ကုန်မြို့ရဲ့ ထင်ရှားတဲ့ ပြယုဂ်တွေက ဘာတွေလဲ?","ကိုလိုနီခေတ် လက်ရာအဆောက်အအုံများနဲ့ ခန့်ညားထည်ဝါလှတဲ့ ရွှေတိဂုံစေတီတော်မြတ်ကြီးတို့ ဖြစ်ပါတယ်။"
"ကျိုက်ထီးရိုး ဆံတော်ရှင်စေတီတော်ရဲ့ ထူးခြားချက်က ဘာလဲ?","မြေဆွဲအားကို ဆန့်ကျင်ပြီး တည်ရှိနေတဲ့ ရွှေရောင်ကျောက်တုံးကြီး (Golden Rock) ဖြစ်ပြီး မြန်မာနိုင်ငံရဲ့ အထွတ်အမြတ်ထားရာ ဗုဒ္ဓဘာသာဝင်တို့ ဘုရားဖူးရာနေရာတစ်ခု ဖြစ်ပါတယ်။"
"ခရီးသွားလုပ်ငန်း ဖွံ့ဖြိုးတိုးတက်ဖို့အတွက် ဝန်ကြီးဌာနက ဘယ်လို မဟာဗျူဟာစီမံကိန်းတွေကို အကောင်အထည်ဖော်နေသလဲ?","ဗီဇာမူဝါဒများ တိုးမြှင့်ခြင်း၊ လေကြောင်းချိတ်ဆက်မှု မြှင့်တင်ခြင်း၊ ခရီးသွားဇုန်များ သတ်မှတ်ခြင်းနဲ့ လူထုအခြေပြု ခရီးသွားလုပ်ငန်း (CBT) စီမံကိန်းတွေကို အကောင်အထည်ဖော်နေပါတယ်။"
"ခရီးသွားလာရာမှာ ကျန်းမာရေးအတွက် ဘယ်လို ကြိုတင်ပြင်ဆင်သင့်သလဲ?","ခရီးမထွက်ခွာမီ ဆရာဝန်နဲ့ တိုင်ပင်ပြီး လိုအပ်တဲ့ ကာကွယ်ဆေးများ ထိုးနှံထားသင့်ကာ သောက်ရေအတွက် သန့်စင်ပြီးသား ရေသန့်ဘူးကိုသာ အသုံးပြုသင့်ပါတယ်။"
"ဒေသခံတွေရဲ့ ဓာတ်ပုံကို ရိုက်ကူးလိုတဲ့အခါ ဘာကို သတိပြုရမလဲ?","ဓာတ်ပုံမရိုက်မီ သက်ဆိုင်သူထံကနေ အမြဲတမ်း ခွင့်တောင်းရပါမယ်။"
"ပစ္စည်းတစ်ခုခုကို ပေးတဲ့အခါ ဒါမှမဟုတ် လက်ခံတဲ့အခါ ဘယ်ဘက်လက်ကို သုံးရမလဲ?","လက်ယာဘက် (ညာဘက်) လက်ကို အသုံးပြုရပါမယ်။"
"မြန်မာနိုင်ငံ ဟိုတယ်နှင့် ခရီးသွားလာရေး ဝန်ကြီးဌာနရဲ့ မျှော်မှန်းချက် (Vision) က ဘာလဲ?","မြန်မာနိုင်ငံကို တာဝန်သိခရီးသွားများအတွက် စစ်မှန်သောအတွေ့အကြုံများ ပေးစွမ်းနိုင်သော၊ မဖြစ်မနေ လည်ပတ်သင့်သည့် ခရီးစဉ်ဒေသတစ်ခုအဖြစ် ရပ်တည်နိုင်စေရန် ဖြစ်ပါသည်။"
"မြန်မာနိုင်ငံရဲ့ သမိုင်းကြောင်းဟာ နှစ်ပေါင်းမည်မျှ ကြာမြင့်ခဲ့ပြီလဲ?","နှစ်ပေါင်း ၂,၀၀၀ ကျော် သမိုင်းကြောင်း ရှိခဲ့ပြီ ဖြစ်ပါသည်။"
"ပုဂံဒေသက ရှေးဟောင်းဘုရားကျောင်းကန်တွေဟာ ဘယ်ရာစုနှစ်ကတည်းက စတင်တည်ရှိခဲ့တာလဲ?","(၉) ရာစုနှစ်ကတည်းက စတင်တည်ရှိခဲ့တာ ဖြစ်ပါတယ်။"
"ငပလီကမ်းခြေရဲ့ ထူးခြားချက်တွေက ဘာတွေလဲ?","အဖြူရောင်သဲသောင်ပြင်၊ အုန်းပင်တန်းများနဲ့ ကြည်လင်တဲ့ ပင်လယ်ရေရှိပြီး ရေကူးရန် အလွန်ကောင်းမွန်တဲ့ နေရာတစ်ခု ဖြစ်ပါတယ်။"
"မြန်မာနိုင်ငံရဲ့ ယဉ်ကျေးမှု အသည်းနှလုံး (Cultural Heartland) လို့ ဘယ်ဒေသကို တင်စားထားသလဲ?","မန္တလေးတိုင်းဒေသကြီးကို တင်စားထားပါတယ်။"
"ကျိုက်ထီးရိုးစေတီတော် (Golden Rock) ဟာ ဘယ်ပြည်နယ်မှာ တည်ရှိတာလဲ?","မွန်ပြည်နယ်မှာ တည်ရှိပါတယ်။"
